iter	Passed	Remaining
0	0	49
1	0	38
2	1	34
3	1	31
4	1	31
5	2	31
6	2	30
7	2	29
8	2	29
9	3	28
10	3	28
11	3	27
12	4	27
13	4	27
14	4	27
15	5	26
16	5	26
17	5	26
18	6	26
19	6	25
20	6	25
21	6	24
22	7	25
23	8	25
24	8	24
25	8	24
26	8	24
27	9	23
28	9	23
29	9	23
30	10	22
31	10	22
32	10	21
33	11	21
34	11	21
35	11	20
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	13
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	25	7
76	25	7
77	25	7
78	26	6
79	26	6
80	26	6
81	27	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	30	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	32	0
98	32	0
99	32	0
