iter	Passed	Remaining
0	55	55053
1	55	27671
2	55	18540
3	56	13981
4	56	11238
5	56	9409
6	57	8126
7	57	7166
8	58	6413
9	58	5798
10	59	5308
11	59	4884
12	59	4526
13	59	4220
14	60	3956
15	60	3726
16	60	3521
17	61	3341
18	61	3177
19	61	3033
20	62	2909
21	62	2786
22	63	2679
23	63	2580
24	63	2488
25	64	2403
26	64	2321
27	64	2250
28	65	2183
29	65	2120
30	65	2059
31	66	2002
32	66	1948
33	66	1899
34	67	1854
35	67	1810
36	67	1767
37	68	1726
38	68	1687
39	68	1652
40	69	1619
41	69	1585
42	69	1553
43	70	1527
44	70	1498
45	70	1469
46	71	1442
47	71	1420
48	71	1395
49	72	1373
50	72	1353
51	73	1332
52	73	1314
53	73	1295
54	74	1276
55	74	1257
56	74	1239
57	75	1222
58	75	1207
59	76	1192
60	76	1175
61	76	1160
62	77	1145
63	77	1130
64	77	1116
65	78	1104
66	78	1090
67	78	1078
68	78	1065
69	79	1052
70	79	1040
71	79	1028
72	80	1019
73	80	1008
74	80	997
75	81	986
76	81	981
77	82	972
78	82	964
79	83	954
80	83	945
81	83	937
82	83	926
83	84	918
84	84	911
85	85	904
86	85	897
87	85	890
88	86	883
89	86	879
90	87	873
91	87	867
92	88	859
93	88	852
94	88	845
95	89	838
96	89	833
97	89	826
98	90	819
99	90	813
100	90	806
101	90	800
102	91	794
103	91	788
104	91	783
105	92	778
106	92	773
107	92	767
108	93	761
109	93	757
110	94	753
111	94	748
112	94	744
113	95	739
114	95	734
115	95	729
116	96	724
117	96	720
118	96	715
119	96	711
120	97	706
121	97	701
122	97	697
123	98	693
124	98	690
125	98	686
126	99	681
127	99	677
128	99	673
129	100	671
130	100	667
131	100	663
132	101	660
133	101	656
134	102	653
135	102	650
136	102	647
137	103	643
138	103	640
139	103	637
140	104	634
141	104	630
142	104	627
143	104	624
144	105	620
145	105	617
146	105	614
147	106	611
148	106	608
149	106	605
150	107	602
151	107	598
152	107	595
153	107	592
154	108	589
155	108	587
156	108	584
157	109	581
158	109	578
159	109	576
160	109	573
161	110	570
162	110	568
163	111	566
164	111	563
165	111	561
166	112	558
167	112	556
168	112	553
169	113	551
170	113	549
171	113	547
172	114	545
173	114	542
174	114	540
175	114	538
176	115	535
177	115	533
178	115	531
179	116	529
180	116	527
181	117	525
182	117	523
183	117	521
184	117	519
185	118	517
186	118	515
187	119	513
188	119	512
189	119	510
190	120	508
191	120	506
192	120	505
193	121	503
194	121	501
195	121	500
196	122	498
197	122	496
198	122	494
199	123	492
200	123	491
201	123	489
202	124	487
203	124	485
204	124	483
205	125	482
206	125	480
207	125	479
208	126	477
209	126	475
210	126	474
211	127	472
212	127	471
213	127	469
214	128	468
215	128	467
216	129	465
217	129	464
218	129	462
219	130	461
220	130	459
221	130	457
222	131	456
223	131	455
224	131	453
225	132	452
226	132	450
227	132	449
228	133	447
229	133	446
230	133	444
231	133	443
232	134	442
233	134	440
234	134	439
235	135	438
236	135	436
237	135	435
238	136	434
239	136	432
240	136	431
241	137	430
242	137	428
243	137	427
244	138	425
245	138	424
246	138	423
247	139	422
248	139	421
249	140	420
250	140	418
251	140	417
252	141	416
253	141	415
254	141	414
255	142	413
256	142	411
257	142	410
258	143	409
259	143	407
260	143	406
261	144	405
262	144	404
263	144	403
264	144	401
265	145	400
266	145	399
267	145	398
268	146	397
269	146	396
270	146	395
271	147	394
272	147	393
273	147	392
274	148	391
275	148	390
276	149	389
277	149	388
278	149	387
279	150	386
280	150	385
281	151	384
282	151	383
283	151	382
284	151	381
285	152	380
286	152	378
287	152	378
288	153	377
289	153	376
290	154	375
291	154	374
292	154	373
293	155	373
294	155	372
295	156	371
296	156	370
297	156	369
298	157	368
299	157	367
300	157	366
301	158	365
302	158	365
303	158	364
304	159	363
305	159	362
306	159	361
307	160	360
308	160	359
309	160	358
310	161	357
311	161	356
312	161	355
313	162	354
314	162	353
315	162	352
316	163	351
317	163	350
318	163	349
319	164	348
320	164	348
321	164	347
322	165	346
323	165	345
324	165	344
325	166	343
326	166	342
327	167	342
328	167	341
329	167	340
330	168	339
331	168	339
332	168	338
333	169	337
334	169	336
335	170	336
336	170	335
337	170	334
338	171	333
339	171	332
340	171	332
341	172	331
342	172	330
343	172	329
344	172	328
345	173	327
346	173	326
347	173	325
348	174	325
349	174	324
350	174	323
351	175	322
352	175	321
353	175	321
354	176	320
355	176	319
356	176	318
357	177	317
358	177	316
359	177	315
360	178	315
361	178	314
362	178	313
363	179	312
364	179	312
365	179	311
366	180	310
367	180	309
368	180	308
369	181	308
370	181	307
371	181	306
372	182	305
373	182	305
374	182	304
375	182	303
376	183	302
377	183	302
378	183	301
379	184	300
380	184	299
381	184	298
382	185	298
383	185	297
384	185	296
385	186	295
386	186	295
387	186	294
388	186	293
389	187	292
390	187	292
391	187	291
392	188	290
393	188	290
394	189	289
395	189	288
396	189	287
397	189	287
398	190	286
399	190	285
400	190	285
401	191	284
402	191	283
403	191	282
404	192	282
405	192	281
406	192	280
407	193	280
408	193	279
409	193	278
410	194	278
411	194	277
412	194	276
413	195	276
414	195	275
415	195	274
416	196	275
417	197	274
418	197	273
419	197	273
420	198	272
421	198	271
422	198	271
423	199	270
424	199	269
425	199	269
426	200	268
427	200	267
428	200	267
429	201	266
430	201	266
431	201	265
432	202	264
433	202	264
434	202	263
435	203	262
436	203	262
437	203	261
438	204	260
439	204	260
440	204	259
441	205	259
442	205	258
443	205	257
444	206	257
445	206	256
446	206	255
447	207	255
448	207	254
449	207	254
450	208	253
451	208	252
452	208	252
453	209	251
454	209	250
455	209	250
456	210	249
457	210	249
458	210	248
459	211	247
460	211	247
461	211	246
462	211	245
463	212	245
464	212	244
465	213	244
466	213	243
467	213	242
468	213	242
469	214	241
470	214	241
471	214	240
472	215	239
473	215	239
474	215	238
475	216	237
476	216	237
477	216	236
478	217	236
479	217	235
480	217	235
481	218	234
482	218	233
483	218	233
484	219	232
485	219	232
486	219	231
487	220	230
488	220	230
489	220	229
490	221	229
491	221	228
492	221	228
493	222	227
494	222	226
495	222	226
496	223	225
497	223	225
498	223	224
499	224	224
500	224	223
501	224	222
502	224	222
503	225	221
504	225	221
505	225	220
506	226	219
507	226	219
508	226	218
509	227	218
510	227	217
511	227	217
512	228	216
513	228	215
514	228	215
515	229	214
516	229	214
517	229	213
518	229	213
519	230	212
520	230	212
521	230	211
522	231	210
523	231	210
524	231	209
525	232	209
526	232	208
527	232	207
528	232	207
529	233	206
530	233	206
531	233	205
532	234	205
533	234	204
534	234	204
535	235	203
536	235	203
537	235	202
538	236	201
539	236	201
540	236	200
541	237	200
542	237	199
543	237	199
544	238	198
545	238	198
546	238	197
547	239	197
548	239	196
549	239	196
550	239	195
551	240	195
552	240	194
553	240	193
554	241	193
555	241	192
556	241	192
557	242	191
558	242	191
559	242	190
560	243	190
561	243	189
562	243	189
563	244	188
564	244	188
565	244	187
566	245	187
567	245	186
568	245	186
569	246	185
570	246	185
571	246	184
572	246	184
573	247	183
574	247	183
575	248	182
576	248	182
577	248	181
578	249	181
579	249	180
580	249	180
581	249	179
582	250	179
583	250	178
584	250	178
585	251	177
586	251	177
587	251	176
588	252	176
589	252	175
590	252	175
591	253	174
592	253	174
593	253	173
594	254	172
595	254	172
596	254	172
597	255	171
598	255	171
599	255	170
600	256	170
601	256	169
602	256	169
603	257	168
604	257	168
605	257	167
606	258	167
607	258	166
608	258	166
609	259	165
610	259	165
611	259	164
612	260	164
613	260	163
614	260	163
615	261	162
616	261	162
617	261	161
618	262	161
619	262	160
620	262	160
621	263	159
622	263	159
623	263	158
624	264	158
625	264	158
626	264	157
627	265	157
628	265	156
629	265	156
630	266	155
631	266	155
632	266	154
633	267	154
634	267	153
635	267	153
636	268	152
637	268	152
638	268	151
639	269	151
640	269	150
641	269	150
642	270	149
643	270	149
644	270	148
645	271	148
646	271	148
647	271	147
648	271	147
649	272	146
650	272	146
651	272	145
652	273	145
653	273	144
654	273	144
655	274	143
656	274	143
657	274	142
658	275	142
659	275	141
660	275	141
661	276	141
662	276	140
663	276	140
664	277	139
665	277	139
666	277	138
667	278	138
668	278	137
669	278	137
670	279	136
671	279	136
672	279	135
673	280	135
674	280	135
675	280	134
676	281	134
677	281	133
678	281	133
679	282	132
680	282	132
681	282	131
682	283	131
683	283	130
684	283	130
685	284	130
686	284	129
687	284	129
688	285	128
689	285	128
690	285	127
691	286	127
692	286	126
693	286	126
694	287	126
695	287	125
696	287	125
697	288	124
698	288	124
699	288	123
700	289	123
701	289	122
702	289	122
703	290	121
704	290	121
705	290	121
706	291	120
707	291	120
708	291	119
709	291	119
710	292	118
711	292	118
712	292	117
713	293	117
714	293	117
715	293	116
716	294	116
717	294	115
718	294	115
719	295	114
720	295	114
721	295	113
722	296	113
723	296	112
724	296	112
725	297	112
726	297	111
727	297	111
728	298	110
729	298	110
730	298	109
731	299	109
732	299	109
733	299	108
734	300	108
735	300	107
736	300	107
737	301	106
738	301	106
739	301	106
740	302	105
741	302	105
742	302	104
743	302	104
744	303	103
745	303	103
746	303	102
747	304	102
748	304	102
749	304	101
750	305	101
751	305	100
752	305	100
753	306	99
754	306	99
755	306	99
756	307	98
757	307	98
758	307	97
759	308	97
760	308	96
761	308	96
762	309	95
763	309	95
764	309	95
765	309	94
766	310	94
767	310	93
768	311	93
769	311	92
770	311	92
771	311	92
772	312	91
773	312	91
774	312	90
775	313	90
776	313	89
777	313	89
778	314	89
779	314	88
780	314	88
781	315	87
782	315	87
783	315	86
784	316	86
785	316	86
786	316	85
787	316	85
788	317	84
789	317	84
790	317	84
791	318	83
792	318	83
793	318	82
794	319	82
795	319	81
796	319	81
797	320	81
798	320	80
799	320	80
800	320	79
801	321	79
802	321	78
803	321	78
804	321	77
805	322	77
806	322	77
807	322	76
808	323	76
809	323	75
810	323	75
811	323	74
812	324	74
813	324	74
814	324	73
815	324	73
816	325	72
817	325	72
818	325	72
819	326	71
820	326	71
821	326	70
822	327	70
823	327	69
824	327	69
825	327	69
826	328	68
827	328	68
828	328	67
829	329	67
830	329	66
831	329	66
832	329	66
833	330	65
834	330	65
835	330	64
836	330	64
837	331	64
838	331	63
839	331	63
840	331	62
841	332	62
842	332	61
843	332	61
844	333	61
845	333	60
846	333	60
847	334	59
848	334	59
849	334	59
850	335	58
851	335	58
852	335	57
853	336	57
854	336	57
855	336	56
856	336	56
857	337	55
858	337	55
859	338	55
860	338	54
861	338	54
862	338	53
863	339	53
864	339	52
865	339	52
866	339	52
867	340	51
868	340	51
869	340	50
870	341	50
871	341	50
872	341	49
873	342	49
874	342	48
875	342	48
876	343	48
877	343	47
878	343	47
879	344	46
880	344	46
881	344	46
882	345	45
883	345	45
884	345	44
885	346	44
886	346	44
887	346	43
888	346	43
889	347	42
890	347	42
891	347	42
892	348	41
893	348	41
894	348	40
895	349	40
896	349	40
897	349	39
898	350	39
899	350	38
900	351	38
901	351	38
902	351	37
903	352	37
904	352	36
905	352	36
906	353	36
907	353	35
908	353	35
909	353	35
910	354	34
911	354	34
912	355	33
913	355	33
914	355	33
915	355	32
916	356	32
917	356	31
918	356	31
919	357	31
920	357	30
921	357	30
922	358	29
923	358	29
924	358	29
925	359	28
926	359	28
